True Yield,Prediction_Ours_500
10.65781182,0.0-15.0
14.01864146,30.0-40.0
14.96739578,30.0-40.0
3.606676847,50.0-60.0
5.008760546,50.0-60.0
4.820162197,70.0-85.0
22.16644806,15.0-30.0
20.36096013,30.0-40.0
16.96531636,30.0-40.0
15.4176361,30.0-40.0
16.88486051,30.0-40.0
30.01215681,85.0-100.0
5.980979595,70.0-85.0
7.837919121,70.0-85.0
7.7823592339999985,85.0-100.0
45.04873884,70.0-85.0
31.88044847,70.0-85.0
42.28229272,85.0-100.0
7.372693174,70.0-85.0
3.88663609,70.0-85.0
9.564949769,85.0-100.0
1.297818598,70.0-85.0
3.542495517,70.0-85.0
4.275083316,85.0-100.0
9.910073167,70.0-85.0
24.27358667,70.0-85.0
23.09132333,85.0-100.0
6.575127297000001,30.0-40.0
3.956885702,40.0-50.0
10.00188169,85.0-100.0
2.038853369,60.0-70.0
2.256359852,60.0-70.0
2.510510682,85.0-100.0
7.7649642,70.0-85.0
12.72121896,70.0-85.0
14.49254361,85.0-100.0
12.6512469,15.0-30.0
14.26895253,15.0-30.0
21.50977994,15.0-30.0
2.968869757,0.0-15.0
24.42152468,30.0-40.0
26.52646529,30.0-40.0
5.928429551,0.0-15.0
19.58685815,30.0-40.0
20.79893886,30.0-40.0
14.56538038,15.0-30.0
12.56300254,15.0-30.0
26.05284451,85.0-100.0
34.28672739,30.0-40.0
39.94694428,30.0-40.0
45.04099086,85.0-100.0
31.76101887,60.0-70.0
34.30918762,70.0-85.0
34.96627405,85.0-100.0
9.322132163,70.0-85.0
3.468901589,70.0-85.0
22.42347536,85.0-100.0
7.021683632999999,70.0-85.0
25.85124884,70.0-85.0
23.89038147,85.0-100.0
1.039364305,70.0-85.0
13.50296194,70.0-85.0
18.21528105,85.0-100.0
9.062775444,15.0-30.0
3.309805744,15.0-30.0
20.59737033,85.0-100.0
5.298717423,30.0-40.0
25.8434488,40.0-50.0
28.68684159,85.0-100.0
1.261091862,60.0-70.0
9.328786223,60.0-70.0
12.78013721,85.0-100.0
11.59050003,30.0-40.0
15.11582189,30.0-40.0
11.65330714,30.0-40.0
1.25144582,0.0-15.0
0.0,0.0-15.0
0.0,15.0-30.0
18.46507819,0.0-15.0
0.0,30.0-40.0
12.90070345,30.0-40.0
9.055172217,0.0-15.0
7.131859569,0.0-15.0
9.967512853,0.0-15.0
9.616112883,40.0-50.0
10.309392,40.0-50.0
23.76547665,40.0-50.0
10.05139356,15.0-30.0
0.330501293,15.0-30.0
0.419612341,15.0-30.0
21.18588073,40.0-50.0
26.29043032,40.0-50.0
28.72536954,70.0-85.0
8.912186757,0.0-15.0
4.385154303,0.0-15.0
14.03295033,40.0-50.0
3.167837071,70.0-85.0
2.874679313,70.0-85.0
4.68080841,85.0-100.0
2.887815395,0.0-15.0
0.0,0.0-15.0
0.4138276970000001,15.0-30.0
8.171441333999999,60.0-70.0
16.06858475,70.0-85.0
14.2414228,70.0-85.0
6.945630992999999,0.0-15.0
0.8718207459999999,0.0-15.0
7.387205125,0.0-15.0
1.918248424,40.0-50.0
3.399446884,40.0-50.0
7.259820865,40.0-50.0
1.069060713,0.0-15.0
0.0,0.0-15.0
0.299153601,15.0-30.0
1.831351486,40.0-50.0
9.550418032,40.0-50.0
10.68115857,40.0-50.0
3.449624718,0.0-15.0
0.432282788,0.0-15.0
6.92498784,40.0-50.0
0.0,0.0-15.0
17.36491347,30.0-40.0
18.14790513,30.0-40.0
11.13292009,0.0-15.0
2.550915003,30.0-40.0
10.78337463,30.0-40.0
0.522267307,0.0-15.0
0.7575191240000001,0.0-15.0
16.82018282,0.0-15.0
16.76617673,0.0-15.0
13.87079949,0.0-15.0
18.97711675,15.0-30.0
0.0,70.0-85.0
24.21309665,70.0-85.0
28.132793300000003,85.0-100.0
13.02655322,50.0-60.0
0.7474117720000001,50.0-60.0
22.894141,85.0-100.0
1.009269411,0.0-15.0
0.0,0.0-15.0
21.36830036,15.0-30.0
20.05913492,15.0-30.0
18.75584418,15.0-30.0
29.17558441,15.0-30.0
0.0,70.0-85.0
15.09367159,70.0-85.0
17.38451108,85.0-100.0
11.30133212,50.0-60.0
0.927604534,50.0-60.0
20.24596352,85.0-100.0
1.232632372,0.0-15.0
0.7015522279999999,0.0-15.0
20.0833829,0.0-15.0
16.27214516,0.0-15.0
16.10027076,0.0-15.0
22.90680768,15.0-30.0
0.0,0.0-15.0
12.19056007,50.0-60.0
14.51047679,85.0-100.0
7.257395781,50.0-60.0
0.0,50.0-60.0
5.889073661,50.0-60.0
0.698318685,0.0-15.0
0.0,0.0-15.0
17.87933698,0.0-15.0
8.62455294,15.0-30.0
5.195732957,15.0-30.0
15.85078385,15.0-30.0
24.10905766,15.0-30.0
15.42545497,15.0-30.0
8.286467695,60.0-70.0
18.40035471,15.0-30.0
14.75153907,15.0-30.0
9.361658454,30.0-40.0
26.47105008,30.0-40.0
17.88950545,30.0-40.0
12.69227905,30.0-40.0
6.618305452,30.0-40.0
9.330486935,30.0-40.0
5.982836529,30.0-40.0
24.17024028,60.0-70.0
21.83853262,60.0-70.0
24.48223218,70.0-85.0
31.73318055,70.0-85.0
31.26129694,70.0-85.0
33.931236600000005,70.0-85.0
33.44709826,40.0-50.0
33.27025402,40.0-50.0
37.07516302,40.0-50.0
17.50108516,30.0-40.0
12.26279814,40.0-50.0
12.21708819,70.0-85.0
7.147036957999999,60.0-70.0
3.849200649,60.0-70.0
3.638207936,70.0-85.0
1.2229069259999998,70.0-85.0
13.70204119,70.0-85.0
11.32681683,70.0-85.0
14.29478531,40.0-50.0
27.94500953,40.0-50.0
29.60669897,40.0-50.0
1.637827855,60.0-70.0
5.265059572,60.0-70.0
4.477162725,70.0-85.0
6.891124522,60.0-70.0
3.42165598,60.0-70.0
3.382805594,70.0-85.0
0.552049908,60.0-70.0
8.178111662000001,60.0-70.0
7.126598877999999,70.0-85.0
4.618730656,40.0-50.0
19.16223306,40.0-50.0
21.60119174,40.0-50.0
1.252505333,40.0-50.0
2.443106533,40.0-50.0
2.103607287,60.0-70.0
13.9614152,0.0-15.0
