True Yield,Prediction_Ours_500
10.65781182,15.0-30.0
14.01864146,15.0-30.0
14.96739578,40.0-50.0
3.606676847,40.0-50.0
5.008760546,40.0-50.0
4.820162197,85.0-100.0
22.16644806,15.0-30.0
20.36096013,40.0-50.0
16.96531636,40.0-50.0
15.4176361,15.0-30.0
16.88486051,40.0-50.0
30.01215681,85.0-100.0
5.980979595,85.0-100.0
7.837919121,70.0-85.0
7.7823592339999985,85.0-100.0
45.04873884,40.0-50.0
31.88044847,40.0-50.0
42.28229272,85.0-100.0
7.372693174,15.0-30.0
3.88663609,15.0-30.0
9.564949769,85.0-100.0
1.297818598,85.0-100.0
3.542495517,60.0-70.0
4.275083316,85.0-100.0
9.910073167,40.0-50.0
24.27358667,40.0-50.0
23.09132333,85.0-100.0
6.575127297000001,15.0-30.0
3.956885702,40.0-50.0
10.00188169,85.0-100.0
2.038853369,85.0-100.0
2.256359852,60.0-70.0
2.510510682,85.0-100.0
7.7649642,40.0-50.0
12.72121896,40.0-50.0
14.49254361,40.0-50.0
12.6512469,15.0-30.0
14.26895253,40.0-50.0
21.50977994,40.0-50.0
2.968869757,15.0-30.0
24.42152468,40.0-50.0
26.52646529,85.0-100.0
5.928429551,40.0-50.0
19.58685815,40.0-50.0
20.79893886,40.0-50.0
14.56538038,40.0-50.0
12.56300254,40.0-50.0
26.05284451,85.0-100.0
34.28672739,85.0-100.0
39.94694428,70.0-85.0
45.04099086,85.0-100.0
31.76101887,60.0-70.0
34.30918762,40.0-50.0
34.96627405,85.0-100.0
9.322132163,40.0-50.0
3.468901589,40.0-50.0
22.42347536,85.0-100.0
7.021683632999999,85.0-100.0
25.85124884,70.0-85.0
23.89038147,85.0-100.0
1.039364305,40.0-50.0
13.50296194,40.0-50.0
18.21528105,85.0-100.0
9.062775444,40.0-50.0
3.309805744,40.0-50.0
20.59737033,50.0-60.0
5.298717423,70.0-85.0
25.8434488,60.0-70.0
28.68684159,85.0-100.0
1.261091862,40.0-50.0
9.328786223,40.0-50.0
12.78013721,85.0-100.0
11.59050003,0.0-15.0
15.11582189,0.0-15.0
11.65330714,50.0-60.0
1.25144582,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
18.46507819,0.0-15.0
0.0,40.0-50.0
12.90070345,40.0-50.0
9.055172217,15.0-30.0
7.131859569,15.0-30.0
9.967512853,15.0-30.0
9.616112883,60.0-70.0
10.309392,60.0-70.0
23.76547665,85.0-100.0
10.05139356,0.0-15.0
0.330501293,0.0-15.0
0.419612341,70.0-85.0
21.18588073,85.0-100.0
26.29043032,40.0-50.0
28.72536954,85.0-100.0
8.912186757,60.0-70.0
4.385154303,60.0-70.0
14.03295033,60.0-70.0
3.167837071,50.0-60.0
2.874679313,50.0-60.0
4.68080841,60.0-70.0
2.887815395,0.0-15.0
0.0,0.0-15.0
0.4138276970000001,85.0-100.0
8.171441333999999,40.0-50.0
16.06858475,40.0-50.0
14.2414228,85.0-100.0
6.945630992999999,50.0-60.0
0.8718207459999999,50.0-60.0
7.387205125,60.0-70.0
1.918248424,60.0-70.0
3.399446884,60.0-70.0
7.259820865,60.0-70.0
1.069060713,0.0-15.0
0.0,0.0-15.0
0.299153601,40.0-50.0
1.831351486,40.0-50.0
9.550418032,40.0-50.0
10.68115857,85.0-100.0
3.449624718,50.0-60.0
0.432282788,50.0-60.0
6.92498784,60.0-70.0
0.0,15.0-30.0
17.36491347,40.0-50.0
18.14790513,50.0-60.0
11.13292009,15.0-30.0
2.550915003,15.0-30.0
10.78337463,30.0-40.0
0.522267307,0.0-15.0
0.7575191240000001,0.0-15.0
16.82018282,0.0-15.0
16.76617673,15.0-30.0
13.87079949,15.0-30.0
18.97711675,40.0-50.0
0.0,50.0-60.0
24.21309665,50.0-60.0
28.132793300000003,60.0-70.0
13.02655322,15.0-30.0
0.7474117720000001,15.0-30.0
22.894141,70.0-85.0
1.009269411,0.0-15.0
0.0,0.0-15.0
21.36830036,40.0-50.0
20.05913492,15.0-30.0
18.75584418,40.0-50.0
29.17558441,70.0-85.0
0.0,50.0-60.0
15.09367159,50.0-60.0
17.38451108,50.0-60.0
11.30133212,15.0-30.0
0.927604534,15.0-30.0
20.24596352,85.0-100.0
1.232632372,0.0-15.0
0.7015522279999999,0.0-15.0
20.0833829,15.0-30.0
16.27214516,15.0-30.0
16.10027076,40.0-50.0
22.90680768,70.0-85.0
0.0,50.0-60.0
12.19056007,50.0-60.0
14.51047679,50.0-60.0
7.257395781,15.0-30.0
0.0,15.0-30.0
5.889073661,70.0-85.0
0.698318685,0.0-15.0
0.0,0.0-15.0
17.87933698,0.0-15.0
8.62455294,15.0-30.0
5.195732957,40.0-50.0
15.85078385,70.0-85.0
24.10905766,50.0-60.0
15.42545497,50.0-60.0
8.286467695,50.0-60.0
18.40035471,15.0-30.0
14.75153907,15.0-30.0
9.361658454,70.0-85.0
26.47105008,15.0-30.0
17.88950545,15.0-30.0
12.69227905,60.0-70.0
6.618305452,40.0-50.0
9.330486935,40.0-50.0
5.982836529,60.0-70.0
24.17024028,60.0-70.0
21.83853262,60.0-70.0
24.48223218,70.0-85.0
31.73318055,70.0-85.0
31.26129694,60.0-70.0
33.931236600000005,70.0-85.0
33.44709826,60.0-70.0
33.27025402,60.0-70.0
37.07516302,85.0-100.0
17.50108516,60.0-70.0
12.26279814,60.0-70.0
12.21708819,70.0-85.0
