True Yield,Prediction_Ours_500
10.65781182,15.0-30.0
14.01864146,15.0-30.0
14.96739578,15.0-30.0
3.606676847,15.0-30.0
5.008760546,15.0-30.0
4.820162197,15.0-30.0
22.16644806,15.0-30.0
20.36096013,15.0-30.0
16.96531636,15.0-30.0
15.4176361,15.0-30.0
16.88486051,15.0-30.0
30.01215681,30.0-40.0
5.980979595,30.0-40.0
7.837919121,30.0-40.0
7.782359234,85.0-100.0
45.04873884,30.0-40.0
31.88044847,30.0-40.0
42.28229272,40.0-50.0
7.372693174,15.0-30.0
3.88663609,15.0-30.0
9.564949769,15.0-30.0
1.297818598,15.0-30.0
3.542495517,30.0-40.0
4.275083316,30.0-40.0
9.910073167,30.0-40.0
24.27358667,30.0-40.0
23.09132333,40.0-50.0
6.575127297,15.0-30.0
3.956885702,15.0-30.0
10.00188169,15.0-30.0
2.038853369,15.0-30.0
2.256359852,30.0-40.0
2.510510682,40.0-50.0
7.7649642,30.0-40.0
12.72121896,30.0-40.0
14.49254361,40.0-50.0
12.6512469,15.0-30.0
14.26895253,15.0-30.0
21.50977994,15.0-30.0
2.968869757,0.0-15.0
24.42152468,0.0-15.0
26.52646529,15.0-30.0
5.928429551,0.0-15.0
19.58685815,0.0-15.0
20.79893886,15.0-30.0
14.56538038,30.0-40.0
12.56300254,40.0-50.0
26.05284451,85.0-100.0
34.28672739,30.0-40.0
39.94694428,30.0-40.0
45.04099086,40.0-50.0
31.76101887,30.0-40.0
34.30918762,30.0-40.0
34.96627405,40.0-50.0
9.322132163,30.0-40.0
3.468901589,40.0-50.0
22.42347536,85.0-100.0
7.021683633,15.0-30.0
25.85124884,30.0-40.0
23.89038147,40.0-50.0
1.039364305,15.0-30.0
13.50296194,30.0-40.0
18.21528105,40.0-50.0
9.062775444,30.0-40.0
3.309805744,40.0-50.0
20.59737033,85.0-100.0
5.298717423,15.0-30.0
25.8434488,30.0-40.0
28.68684159,40.0-50.0
1.261091862,15.0-30.0
9.328786223,30.0-40.0
12.78013721,40.0-50.0
11.59050003,0.0-15.0
15.11582189,0.0-15.0
11.65330714,15.0-30.0
1.25144582,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
18.46507819,15.0-30.0
0.0,15.0-30.0
12.90070345,15.0-30.0
9.055172217,0.0-15.0
7.131859569,0.0-15.0
9.967512853,0.0-15.0
9.616112883,15.0-30.0
10.309392,15.0-30.0
23.76547665,30.0-40.0
10.05139356,15.0-30.0
0.330501293,15.0-30.0
0.419612341,15.0-30.0
21.18588073,30.0-40.0
26.29043032,40.0-50.0
28.72536954,40.0-50.0
8.912186757,15.0-30.0
4.385154303,15.0-30.0
14.03295033,15.0-30.0
3.167837071,15.0-30.0
2.874679313,15.0-30.0
4.68080841,15.0-30.0
2.887815395,0.0-15.0
0.0,15.0-30.0
0.413827697,15.0-30.0
8.171441334,30.0-40.0
16.06858475,40.0-50.0
14.2414228,40.0-50.0
6.945630993,0.0-15.0
0.871820746,15.0-30.0
7.387205125,15.0-30.0
1.918248424,15.0-30.0
3.399446884,15.0-30.0
7.259820865,15.0-30.0
1.069060713,0.0-15.0
0.0,0.0-15.0
0.299153601,15.0-30.0
1.831351486,40.0-50.0
9.550418032,40.0-50.0
10.68115857,40.0-50.0
3.449624718,0.0-15.0
0.432282788,15.0-30.0
6.92498784,15.0-30.0
0.0,0.0-15.0
17.36491347,0.0-15.0
18.14790513,0.0-15.0
11.13292009,0.0-15.0
2.550915003,0.0-15.0
10.78337463,15.0-30.0
0.522267307,0.0-15.0
0.757519124,0.0-15.0
16.82018282,0.0-15.0
16.76617673,15.0-30.0
13.87079949,15.0-30.0
18.97711675,15.0-30.0
0.0,15.0-30.0
24.21309665,30.0-40.0
28.1327933,30.0-40.0
13.02655322,15.0-30.0
0.747411772,15.0-30.0
22.894141,30.0-40.0
1.009269411,15.0-30.0
0.0,15.0-30.0
21.36830036,15.0-30.0
20.05913492,30.0-40.0
18.75584418,30.0-40.0
29.17558441,30.0-40.0
0.0,15.0-30.0
15.09367159,15.0-30.0
17.38451108,30.0-40.0
11.30133212,15.0-30.0
0.927604534,15.0-30.0
20.24596352,15.0-30.0
1.232632372,0.0-15.0
0.701552228,0.0-15.0
20.0833829,15.0-30.0
16.27214516,15.0-30.0
16.10027076,30.0-40.0
22.90680768,30.0-40.0
0.0,15.0-30.0
12.19056007,15.0-30.0
14.51047679,30.0-40.0
7.257395781,15.0-30.0
0.0,15.0-30.0
5.889073661,15.0-30.0
0.698318685,0.0-15.0
0.0,0.0-15.0
17.87933698,0.0-15.0
8.62455294,15.0-30.0
5.195732957,30.0-40.0
15.85078385,30.0-40.0
24.10905766,15.0-30.0
15.42545497,15.0-30.0
8.286467695,15.0-30.0
18.40035471,15.0-30.0
14.75153907,15.0-30.0
9.361658454,15.0-30.0
26.47105008,15.0-30.0
17.88950545,15.0-30.0
12.69227905,15.0-30.0
6.618305452,15.0-30.0
9.330486935,15.0-30.0
5.982836529,15.0-30.0
24.17024028,15.0-30.0
21.83853262,30.0-40.0
24.48223218,30.0-40.0
31.73318055,30.0-40.0
31.26129694,40.0-50.0
33.9312366,85.0-100.0
33.44709826,40.0-50.0
33.27025402,40.0-50.0
37.07516302,85.0-100.0
17.50108516,30.0-40.0
12.26279814,30.0-40.0
12.21708819,40.0-50.0
7.147036958,15.0-30.0
3.849200649,30.0-40.0
