True Yield,Prediction_Ours_500
7.802080337,0.0-15.0
2.84616447,15.0-30.0
3.920306162,15.0-30.0
0.960810012,0.0-15.0
0.705195152,30.0-40.0
0.546829898,30.0-40.0
4.992379236,15.0-30.0
4.179760101,15.0-30.0
4.206951598,15.0-30.0
7.641917878,30.0-40.0
2.599454304,30.0-40.0
15.31942872,50.0-60.0
0.705225291,50.0-60.0
0.595872872,60.0-70.0
0.646778821,60.0-70.0
3.420166341,30.0-40.0
2.74612364,30.0-40.0
4.582095156,60.0-70.0
4.337310253,15.0-30.0
0.0,30.0-40.0
0.0,40.0-50.0
0.910655456,30.0-40.0
0.0,50.0-60.0
0.0,60.0-70.0
0.858974836,15.0-30.0
1.497954505,30.0-40.0
0.0,50.0-60.0
3.595206135,0.0-15.0
0.57693322,30.0-40.0
2.173414859,40.0-50.0
1.112658983,30.0-40.0
0.0,40.0-50.0
0.544984175,60.0-70.0
0.737631078,15.0-30.0
0.778234105,30.0-40.0
1.087256852,40.0-50.0
8.323184663,0.0-15.0
1.932595354,0.0-15.0
2.331533569,0.0-15.0
9.085602443,0.0-15.0
5.370036774,15.0-30.0
4.67315366,15.0-30.0
4.111488109,0.0-15.0
2.005732083,0.0-15.0
1.922791563,15.0-30.0
6.853480142,0.0-15.0
16.2490011,40.0-50.0
4.695061055,30.0-40.0
6.591475121,50.0-60.0
3.622466468,30.0-40.0
3.012114112,50.0-60.0
3.893641215,60.0-70.0
3.848767902,0.0-15.0
0.0,0.0-15.0
7.805738503,40.0-50.0
5.429390182,15.0-30.0
2.461539411,30.0-40.0
9.034825048,40.0-50.0
7.259312325,15.0-30.0
0.0,30.0-40.0
4.228381568,50.0-60.0
6.264897465,0.0-15.0
0.620480408,0.0-15.0
7.120028255,40.0-50.0
4.246823607,15.0-30.0
2.615785832,30.0-40.0
3.135484875,40.0-50.0
1.117675591,0.0-15.0
0.841459123,30.0-40.0
0.968826586,40.0-50.0
7.911192525,0.0-15.0
3.045865819,15.0-30.0
2.547971795,15.0-30.0
0.689951869,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
10.30004263,0.0-15.0
3.019148584,15.0-30.0
2.841459947,15.0-30.0
6.90640733,0.0-15.0
0.0,0.0-15.0
3.462173057,0.0-15.0
2.889330361,15.0-30.0
1.095223411,30.0-40.0
5.49871711,40.0-50.0
4.522238884,0.0-15.0
0.0,30.0-40.0
0.0,30.0-40.0
13.82100293,30.0-40.0
4.451923676,30.0-40.0
5.620589612,70.0-85.0
4.278834497,0.0-15.0
0.478819391,15.0-30.0
16.12823791,30.0-40.0
2.658633939,15.0-30.0
5.479660726,15.0-30.0
5.688672061,40.0-50.0
1.034854608,0.0-15.0
3.549284452,0.0-15.0
3.20619178,15.0-30.0
1.372286353,15.0-30.0
5.094725505,30.0-40.0
7.18319285,70.0-85.0
3.257714985,0.0-15.0
4.103392125,0.0-15.0
12.47762059,15.0-30.0
0.628858286,15.0-30.0
0.375286042,15.0-30.0
1.379250532,30.0-40.0
0.836644888,0.0-15.0
0.0,0.0-15.0
