True Yield,Prediction_Ours_500
7.802080337,0.0-15.0
2.84616447,0.0-15.0
3.920306162,0.0-15.0
0.960810012,0.0-15.0
0.705195152,0.0-15.0
0.546829898,0.0-15.0
4.992379236,15.0-30.0
4.179760101,0.0-15.0
4.206951598,0.0-15.0
7.641917878,0.0-15.0
2.599454304,0.0-15.0
15.31942872,0.0-15.0
0.705225291,0.0-15.0
0.595872872,0.0-15.0
0.646778821,0.0-15.0
3.420166341,15.0-30.0
2.74612364,15.0-30.0
4.582095156,0.0-15.0
4.337310253,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
0.910655456,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
0.858974836,0.0-15.0
1.497954505,15.0-30.0
0.0,15.0-30.0
3.595206135,0.0-15.0
0.57693322,0.0-15.0
2.173414859,0.0-15.0
1.112658983,0.0-15.0
0.0,0.0-15.0
0.544984175,0.0-15.0
0.737631078,15.0-30.0
0.778234105,15.0-30.0
1.087256852,15.0-30.0
8.323184663,0.0-15.0
1.932595354,0.0-15.0
2.331533569,0.0-15.0
9.085602443,0.0-15.0
5.370036774,0.0-15.0
4.67315366,0.0-15.0
4.111488109,40.0-50.0
2.005732083,0.0-15.0
1.922791563,15.0-30.0
6.853480142,0.0-15.0
16.2490011,0.0-15.0
4.695061055,0.0-15.0
6.591475121,0.0-15.0
3.622466468,40.0-50.0
3.012114112,0.0-15.0
3.893641215,15.0-30.0
3.848767902,0.0-15.0
0.0,0.0-15.0
7.805738503,0.0-15.0
5.429390182,0.0-15.0
2.461539411,0.0-15.0
9.034825048,15.0-30.0
7.259312325,0.0-15.0
0.0,15.0-30.0
4.228381568,0.0-15.0
6.264897465,0.0-15.0
0.620480408,0.0-15.0
7.120028255,0.0-15.0
4.246823607,0.0-15.0
2.615785832,0.0-15.0
3.135484875,0.0-15.0
1.117675591,40.0-50.0
0.841459123,0.0-15.0
0.968826586,0.0-15.0
7.911192525,0.0-15.0
3.045865819,0.0-15.0
2.547971795,0.0-15.0
0.689951869,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
10.30004263,15.0-30.0
3.019148584,0.0-15.0
2.841459947,0.0-15.0
6.90640733,0.0-15.0
0.0,0.0-15.0
3.462173057,0.0-15.0
2.889330361,0.0-15.0
1.095223411,0.0-15.0
5.49871711,0.0-15.0
4.522238884,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
13.82100293,15.0-30.0
4.451923676,0.0-15.0
5.620589612,0.0-15.0
4.278834497,0.0-15.0
0.478819391,0.0-15.0
16.12823791,0.0-15.0
2.658633939,0.0-15.0
5.479660726,0.0-15.0
5.688672061,0.0-15.0
1.034854608,0.0-15.0
3.549284452,0.0-15.0
3.20619178,0.0-15.0
1.372286353,0.0-15.0
5.094725505,0.0-15.0
7.18319285,0.0-15.0
3.257714985,0.0-15.0
4.103392125,0.0-15.0
12.47762059,0.0-15.0
0.628858286,15.0-30.0
0.375286042,0.0-15.0
1.379250532,0.0-15.0
0.836644888,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
0.66547915,40.0-50.0
1.279456438,0.0-15.0
1.542228309,15.0-30.0
0.526967727,0.0-15.0
0.0,0.0-15.0
2.373221649,0.0-15.0
0.0,0.0-15.0
2.86790041,0.0-15.0
2.68757234,0.0-15.0
14.86219247,0.0-15.0
0.0,0.0-15.0
1.52899949,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
3.525705852,0.0-15.0
8.822068949,0.0-15.0
2.570236026,0.0-15.0
5.163801227,0.0-15.0
0.0,0.0-15.0
2.408749938,15.0-30.0
2.853941347,0.0-15.0
4.57865157,0.0-15.0
0.0,0.0-15.0
13.56968075,0.0-15.0
0.400015161,0.0-15.0
0.518126221,0.0-15.0
14.32160153,0.0-15.0
5.628261366,0.0-15.0
4.064443696,0.0-15.0
11.31698923,0.0-15.0
9.08121194,0.0-15.0
6.866213056,0.0-15.0
7.228003443,15.0-30.0
8.038113026,0.0-15.0
0.0,0.0-15.0
7.689322987,0.0-15.0
9.606838288,0.0-15.0
0.855112472,0.0-15.0
13.65409275,0.0-15.0
9.228754169,0.0-15.0
9.58087319,0.0-15.0
13.45243807,0.0-15.0
0.0,0.0-15.0
1.161532817,0.0-15.0
1.226267555,0.0-15.0
1.582170389,0.0-15.0
0.0,0.0-15.0
0.954745242,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
6.949971836,0.0-15.0
1.999177844,0.0-15.0
1.039903259,0.0-15.0
1.753987647,0.0-15.0
7.676008537,0.0-15.0
1.188847918,0.0-15.0
0.662349524,0.0-15.0
3.597789888,15.0-30.0
3.418730848,15.0-30.0
2.217163117,0.0-15.0
13.26153778,0.0-15.0
6.262930072,0.0-15.0
5.967393026,0.0-15.0
0.340410651,0.0-15.0
0.72962294,0.0-15.0
0.94272788,15.0-30.0
10.90397812,0.0-15.0
1.358946967,0.0-15.0
1.442502721,0.0-15.0
9.850315112,15.0-30.0
3.373624056,15.0-30.0
3.864236463,0.0-15.0
9.771808987,0.0-15.0
5.06261629,0.0-15.0
5.460903942,0.0-15.0
0.649110542,0.0-15.0
0.638545637,15.0-30.0
0.609947969,15.0-30.0
6.975926865,0.0-15.0
3.554195282,0.0-15.0
4.04132523,0.0-15.0
7.810317963,0.0-15.0
4.7108856,15.0-30.0
4.961974313,15.0-30.0
9.444894792,0.0-15.0
7.74850436,0.0-15.0
12.64243358,0.0-15.0
4.950264204,0.0-15.0
3.678633066,0.0-15.0
4.390150349,15.0-30.0
2.294941324,0.0-15.0
0.695599064,0.0-15.0
0.665471445,0.0-15.0
0.0,15.0-30.0
0.817066768,15.0-30.0
0.789038452,15.0-30.0
2.350274713,15.0-30.0
2.42184546,0.0-15.0
2.579355469,0.0-15.0
0.0,15.0-30.0
0.489724505,0.0-15.0
0.490842961,15.0-30.0
7.713999512,0.0-15.0
1.896990139,0.0-15.0
2.067024275,0.0-15.0
9.734031055,0.0-15.0
1.378417368,0.0-15.0
0.0,0.0-15.0
11.25218088,0.0-15.0
5.821778044,0.0-15.0
5.235495595,0.0-15.0
0.566845941,0.0-15.0
1.036456102,0.0-15.0
0.884950948,15.0-30.0
7.108204477,0.0-15.0
1.257407502,0.0-15.0
11.25502625,0.0-15.0
6.581266653,0.0-15.0
1.781909967,0.0-15.0
4.28271464,0.0-15.0
12.51112995,0.0-15.0
3.311093961,0.0-15.0
3.524318044,0.0-15.0
0.860295656,0.0-15.0
0.83326199,0.0-15.0
0.745430861,15.0-30.0
12.28165388,0.0-15.0
1.993041801,0.0-15.0
