True Yield,Prediction_Ours_500
9.46569581,39.5-49.4
21.66658644,39.5-49.4
23.68617418,39.5-49.4
35.13952712,39.5-49.4
30.4254394,39.5-49.4
33.8754215,39.5-49.4
22.61165831,39.5-49.4
31.61725517,39.5-49.4
38.14302674,39.5-49.4
29.97543001,39.5-49.4
68.84655406,39.5-49.4
86.68959994,39.5-49.4
65.93988128,39.5-49.4
70.2055639,39.5-49.4
91.39064225,39.5-49.4
56.83280355,39.5-49.4
73.64322424,39.5-49.4
84.85609846,39.5-49.4
24.90011385,39.5-49.4
32.00160024,39.5-49.4
69.39855223,39.5-49.4
76.83418769,39.5-49.4
54.58472012,39.5-49.4
77.8707536,39.5-49.4
63.8547365,39.5-49.4
70.28309787,39.5-49.4
84.69021766,39.5-49.4
16.1585109,39.5-49.4
24.60602271,39.5-49.4
68.0065648,39.5-49.4
55.08984272,39.5-49.4
34.68494953,39.5-49.4
67.67136056,39.5-49.4
64.02888238,39.5-49.4
45.30738516,59.2-69.1
86.20017514,69.1-83.9
12.98584411,39.5-49.4
16.82928554,39.5-49.4
15.69796379,39.5-49.4
10.59565991,39.5-49.4
32.92776022,39.5-49.4
32.36907857,39.5-49.4
14.11480355,39.5-49.4
39.19022489,39.5-49.4
38.26811211,39.5-49.4
31.29909936,39.5-49.4
69.39495874,39.5-49.4
88.44637346,39.5-49.4
52.85443039,39.5-49.4
80.58863006,39.5-49.4
86.19439925,39.5-49.4
54.63079808,39.5-49.4
76.63515592,39.5-49.4
86.00345438,39.5-49.4
23.70056273,39.5-49.4
32.19059222,39.5-49.4
50.80872036,39.5-49.4
68.99091328,39.5-49.4
78.17281005,39.5-49.4
86.12188158,39.5-49.4
69.08248124,39.5-49.4
63.40623793,39.5-49.4
87.76406197,39.5-49.4
19.27582448,39.5-49.4
17.3168226,39.5-49.4
44.47903411,39.5-49.4
74.61155282,39.5-49.4
61.91869342,69.1-83.9
89.88953077,69.1-83.9
80.49152522,39.5-49.4
38.32865111,39.5-49.4
81.37846659,39.5-49.4
13.98755594,14.8-29.6
22.49487977,14.8-29.6
26.31222578,39.5-49.4
7.972544215,0.0-14.8
4.510171982,0.0-14.8
6.536001371,14.8-29.6
19.78619625,39.5-49.4
24.23900204,39.5-49.4
32.16531055,39.5-49.4
7.147436012,14.8-29.6
11.68964545,14.8-29.6
14.22488447,39.5-49.4
30.38899776,39.5-49.4
54.22895975,39.5-49.4
73.07610721,39.5-49.4
19.47556274,0.0-14.8
8.246523526,14.8-29.6
14.03184959,39.5-49.4
62.426823,39.5-49.4
57.84627264,39.5-49.4
76.3025428,39.5-49.4
18.18990312,39.5-49.4
38.10999093,39.5-49.4
63.35366236,39.5-49.4
28.40072634,39.5-49.4
42.31281665,39.5-49.4
77.92695821,39.5-49.4
13.20129952,0.0-14.8
9.609943508,0.0-14.8
21.81045338,39.5-49.4
73.53944548,39.5-49.4
57.83107149,39.5-49.4
79.07949659,39.5-49.4
16.31613355,39.5-49.4
13.57914578,39.5-49.4
36.05565123,39.5-49.4
17.08713871,29.6-39.5
28.41978949,29.6-39.5
70.04834525,39.5-49.4
5.427048525,0.0-14.8
3.547951578,0.0-14.8
13.55922704,39.5-49.4
70.41045785,39.5-49.4
33.09635306,59.2-69.1
75.55480498,69.1-83.9
8.586375019,14.8-29.6
3.747141461,14.8-29.6
29.35743486,49.4-59.2
0.0,39.5-49.4
26.14998957,39.5-49.4
28.88381703,39.5-49.4
12.438351,29.6-39.5
10.00194934,29.6-39.5
18.83260332,29.6-39.5
0.0,0.0-14.8
0.0,0.0-14.8
7.156167613,39.5-49.4
17.200701,39.5-49.4
6.819997972,39.5-49.4
16.58042552,39.5-49.4
3.510094374,39.5-49.4
60.26102193,39.5-49.4
81.53694628,39.5-49.4
21.68221926,39.5-49.4
12.36409536,29.6-39.5
48.36115435,39.5-49.4
3.451949517,39.5-49.4
1.986478634,39.5-49.4
40.21576406,39.5-49.4
53.94447324,39.5-49.4
38.03832948,39.5-49.4
77.39811795,39.5-49.4
1.660025621,39.5-49.4
58.32558385,39.5-49.4
84.9300227,39.5-49.4
24.62070452,39.5-49.4
9.836570629,29.6-39.5
49.94868445,39.5-49.4
4.444109893,39.5-49.4
0.0,39.5-49.4
40.01187418,39.5-49.4
56.49708288,39.5-49.4
36.66758858,39.5-49.4
80.10225068,39.5-49.4
0.0,39.5-49.4
43.94688122,39.5-49.4
83.03295526,39.5-49.4
15.64688259,29.6-39.5
3.964447459,29.6-39.5
48.18783868,39.5-49.4
0.0,29.6-39.5
0.0,29.6-39.5
34.48220577,39.5-49.4
20.00288675,39.5-49.4
13.79100096,39.5-49.4
60.52865164,39.5-49.4
36.55522639,39.5-49.4
24.95662893,39.5-49.4
23.90935743,39.5-49.4
20.97581455,39.5-49.4
22.54874195,39.5-49.4
25.36847762,39.5-49.4
16.47592229,39.5-49.4
26.0695387,39.5-49.4
27.19452945,39.5-49.4
24.01631717,39.5-49.4
21.60400316,29.6-39.5
25.48313253,39.5-49.4
70.14701034,39.5-49.4
61.13755675,39.5-49.4
83.17489955,39.5-49.4
54.53336611,39.5-49.4
66.11270607,39.5-49.4
82.51131881,39.5-49.4
62.46560879,39.5-49.4
62.39976577,39.5-49.4
84.81458604,39.5-49.4
70.24905586,39.5-49.4
61.82340519,39.5-49.4
84.64975432,39.5-49.4
70.51359377,39.5-49.4
55.58164705,39.5-49.4
71.00136701,39.5-49.4
80.28534176,39.5-49.4
56.33395035,39.5-49.4
86.6996801,39.5-49.4
78.76794462,39.5-49.4
58.92871095,39.5-49.4
90.99050642,39.5-49.4
75.99606764,39.5-49.4
52.72286451,39.5-49.4
74.69880742,39.5-49.4
74.06067797,39.5-49.4
27.69709095,39.5-49.4
52.59936901,39.5-49.4
74.22961906,39.5-49.4
33.94683682,39.5-49.4
72.98033012,39.5-49.4
76.3099624,39.5-49.4
34.05189508,49.4-59.2
89.07661609,49.4-59.2
57.59970402,39.5-49.4
26.8260429,39.5-49.4
47.18415816,39.5-49.4
12.25099464,39.5-49.4
15.10135263,39.5-49.4
14.60964787,39.5-49.4
11.84842444,39.5-49.4
15.03293541,29.6-39.5
11.6539798,39.5-49.4
18.57739993,39.5-49.4
26.66040937,39.5-49.4
27.32636453,39.5-49.4
22.29411196,29.6-39.5
22.69659515,29.6-39.5
24.66006055,39.5-49.4
27.24876847,39.5-49.4
56.99401844,39.5-49.4
79.78226496,39.5-49.4
42.78380779,39.5-49.4
33.66124955,39.5-49.4
79.04497323,39.5-49.4
53.37807808,39.5-49.4
64.60204454,39.5-49.4
83.76441682,39.5-49.4
63.65319734,49.4-59.2
66.07394644,49.4-59.2
82.32171897,49.4-59.2
24.72320112,39.5-49.4
32.57727167,39.5-49.4
64.98015189,39.5-49.4
41.14460565,39.5-49.4
29.74076309,39.5-49.4
72.24358198,39.5-49.4
78.77070783,39.5-49.4
62.79572595,39.5-49.4
85.53405964,39.5-49.4
72.60987428,39.5-49.4
58.01064055,49.4-59.2
78.02488381,49.4-59.2
21.50066765,39.5-49.4
20.28381752,39.5-49.4
29.55686861,39.5-49.4
31.37415917,39.5-49.4
20.49711258,49.4-59.2
31.19527434,49.4-59.2
74.20453315,39.5-49.4
44.04139335,39.5-49.4
78.41262052,39.5-49.4
54.69797468,49.4-59.2
28.17135486,49.4-59.2
38.40380593,49.4-59.2
15.23875818,0.0-14.8
48.48749388,14.8-29.6
42.69485888,14.8-29.6
37.65445791,0.0-14.8
53.63578043,14.8-29.6
63.0697188,14.8-29.6
28.75149591,0.0-14.8
51.21654271,0.0-14.8
56.51667394,0.0-14.8
36.30636065,14.8-29.6
82.1847816,14.8-29.6
92.91423383,14.8-29.6
66.07082051,14.8-29.6
83.08846167,14.8-29.6
97.29293259,39.5-49.4
76.33726193,29.6-39.5
87.90201497,29.6-39.5
93.31083413,29.6-39.5
28.47849533,0.0-14.8
51.8134607,0.0-14.8
85.4419715,14.8-29.6
91.6524383,0.0-14.8
74.81544975,0.0-14.8
96.59121826,14.8-29.6
76.33612431,0.0-14.8
80.52782377,29.6-39.5
91.05627032,29.6-39.5
20.64357371,0.0-14.8
39.09372544,14.8-29.6
84.91024962,14.8-29.6
63.25759385,0.0-14.8
51.68395023,14.8-29.6
95.55515456,14.8-29.6
74.63930208,0.0-14.8
56.65401799,0.0-14.8
84.17796028,29.6-39.5
17.08756486,0.0-14.8
35.53815083,0.0-14.8
27.33482675,14.8-29.6
12.24156469,14.8-29.6
59.55262648,14.8-29.6
58.30938102,14.8-29.6
17.56349703,0.0-14.8
59.13712916,14.8-29.6
65.27849508,14.8-29.6
35.2030282,0.0-14.8
84.60201966,14.8-29.6
93.09950718,14.8-29.6
72.15476775,14.8-29.6
86.2541164,14.8-29.6
91.26694463,39.5-49.4
63.14714159,29.6-39.5
88.44485055,29.6-39.5
92.13719474,39.5-49.4
25.95507424,0.0-14.8
55.46040564,0.0-14.8
71.49385038,14.8-29.6
87.93113193,0.0-14.8
84.44355873,14.8-29.6
87.95919128,39.5-49.4
88.30829539,0.0-14.8
77.4707991,0.0-14.8
93.03255731,39.5-49.4
20.15990301,0.0-14.8
16.25514799,0.0-14.8
59.28097568,14.8-29.6
83.37705512,14.8-29.6
66.70576357,14.8-29.6
92.89765441,14.8-29.6
89.89767813,0.0-14.8
59.55424843,14.8-29.6
89.47412112,29.6-39.5
20.04239857,0.0-14.8
37.83294904,0.0-14.8
50.09944792,14.8-29.6
11.17697809,0.0-14.8
34.38173794,0.0-14.8
46.5446166,0.0-14.8
23.5354934,0.0-14.8
43.49187499,0.0-14.8
51.64764803,0.0-14.8
9.80291595,0.0-14.8
24.97534285,0.0-14.8
19.78249574,0.0-14.8
38.88072897,0.0-14.8
63.56431346,14.8-29.6
81.15618498,14.8-29.6
21.66443641,0.0-14.8
36.7072802,0.0-14.8
60.85990802,0.0-14.8
76.21686958,29.6-39.5
65.93366748,29.6-39.5
80.02551627,39.5-49.4
23.65087488,0.0-14.8
54.30595244,0.0-14.8
81.85780625,14.8-29.6
32.01759643,0.0-14.8
57.9744807,0.0-14.8
88.82757824,14.8-29.6
14.46827704,0.0-14.8
15.35251148,0.0-14.8
48.23235239,0.0-14.8
79.65524299,0.0-14.8
62.53871196,0.0-14.8
86.78620377,39.5-49.4
19.93006899,0.0-14.8
24.95867786,0.0-14.8
46.16924796,0.0-14.8
21.75875381,0.0-14.8
37.45572206,0.0-14.8
82.57086092,14.8-29.6
4.952408524,0.0-14.8
7.467378263,0.0-14.8
36.35900481,0.0-14.8
77.6347291,0.0-14.8
40.91072057,0.0-14.8
87.36384149,29.6-39.5
11.06445724,0.0-14.8
6.703331473,0.0-14.8
35.64598437,0.0-14.8
0.0,14.8-29.6
49.4018977,14.8-29.6
51.52656955,14.8-29.6
18.58444117,0.0-14.8
18.5257144,0.0-14.8
28.69582004,14.8-29.6
0.0,0.0-14.8
1.437346554,0.0-14.8
11.85200713,0.0-14.8
24.04057337,0.0-14.8
13.1450619,0.0-14.8
26.94242513,14.8-29.6
8.008432112,14.8-29.6
60.25206697,14.8-29.6
85.40177854,14.8-29.6
35.06478929,0.0-14.8
33.74087377,14.8-29.6
61.11611165,14.8-29.6
4.84059533,0.0-14.8
6.315944702,0.0-14.8
46.05681806,0.0-14.8
65.48767084,14.8-29.6
50.50908656,14.8-29.6
83.68183531,14.8-29.6
2.145304957,0.0-14.8
60.47798465,14.8-29.6
89.419451,14.8-29.6
28.5763008,0.0-14.8
16.26033077,0.0-14.8
50.70720641,0.0-14.8
2.413308832,0.0-14.8
1.592422994,0.0-14.8
40.89777506,0.0-14.8
63.56506276,0.0-14.8
43.48269562,0.0-14.8
85.13318487,14.8-29.6
0.0,14.8-29.6
46.59177534,14.8-29.6
93.56409267,14.8-29.6
16.4099085,0.0-14.8
6.168096918,0.0-14.8
49.14544471,14.8-29.6
0.0,0.0-14.8
0.0,0.0-14.8
35.36016156,0.0-14.8
25.99050807,0.0-14.8
19.53099508,0.0-14.8
67.75052852,14.8-29.6
46.64960106,14.8-29.6
45.54864618,14.8-29.6
47.15771685,14.8-29.6
23.18775097,0.0-14.8
36.80117668,14.8-29.6
50.91041247,14.8-29.6
19.59466142,0.0-14.8
40.32928262,0.0-14.8
55.41075316,29.6-39.5
30.07960625,0.0-14.8
30.2871506,0.0-14.8
49.96376516,29.6-39.5
70.25926715,14.8-29.6
70.67829218,14.8-29.6
81.27460019,14.8-29.6
55.70352222,14.8-29.6
66.35401825,14.8-29.6
84.42429873,14.8-29.6
64.57811697,29.6-39.5
66.50686069,29.6-39.5
83.82537223,29.6-39.5
69.97972982,29.6-39.5
71.09717455,29.6-39.5
83.38501147,29.6-39.5
72.16100406,14.8-29.6
56.60877307,14.8-29.6
80.78104004,14.8-29.6
77.62777181,0.0-14.8
60.94658978,0.0-14.8
84.33974431,14.8-29.6
77.82985513,29.6-39.5
59.21092574,29.6-39.5
84.34096533,29.6-39.5
73.60085469,29.6-39.5
62.07451283,29.6-39.5
87.52908706,29.6-39.5
77.51023369,14.8-29.6
36.62142901,14.8-29.6
74.31911492,14.8-29.6
75.06901133,0.0-14.8
41.28086675,14.8-29.6
82.64502167,14.8-29.6
75.95426954,29.6-39.5
41.4297554,29.6-39.5
85.65923047,29.6-39.5
64.01092118,0.0-14.8
36.10071383,0.0-14.8
65.99016493,29.6-39.5
16.43551115,0.0-14.8
24.44251918,14.8-29.6
28.7617291,14.8-29.6
12.48722349,0.0-14.8
36.25474039,0.0-14.8
23.14100825,0.0-14.8
22.20180478,14.8-29.6
44.30153891,14.8-29.6
52.36462009,14.8-29.6
31.22952549,0.0-14.8
37.46429839,0.0-14.8
45.98390905,0.0-14.8
31.76624566,14.8-29.6
63.00725217,14.8-29.6
79.62575679,14.8-29.6
53.50463767,0.0-14.8
51.21151631,0.0-14.8
78.70773698,0.0-14.8
62.99169098,14.8-29.6
61.25906652,14.8-29.6
82.77010873,39.5-49.4
73.26731184,0.0-14.8
64.68492451,29.6-39.5
81.29892199,29.6-39.5
27.98543221,0.0-14.8
44.24461772,0.0-14.8
71.05445565,14.8-29.6
47.20893463,0.0-14.8
38.06656269,0.0-14.8
73.49750543,0.0-14.8
76.11415284,14.8-29.6
65.86005497,14.8-29.6
80.79670421,39.5-49.4
78.22401013,0.0-14.8
63.16520406,0.0-14.8
80.73687357,29.6-39.5
25.90827653,0.0-14.8
30.24326754,14.8-29.6
41.06227561,14.8-29.6
37.12306374,0.0-14.8
31.02334366,0.0-14.8
39.71442231,0.0-14.8
74.49984474,14.8-29.6
53.66497703,14.8-29.6
80.77035612,39.5-49.4
66.42814295,0.0-14.8
42.18931962,0.0-14.8
57.42667045,29.6-39.5
19.59428889,0.0-14.8
58.61075678,0.0-14.8
54.83360857,0.0-14.8
51.10248957,0.0-14.8
59.4767437,0.0-14.8
70.62989218,0.0-14.8
26.98890626,0.0-14.8
57.55128922,0.0-14.8
67.97172842,0.0-14.8
36.58798902,0.0-14.8
80.58917239,0.0-14.8
97.56849953,0.0-14.8
66.20793624,0.0-14.8
85.14465222,0.0-14.8
99.61910732,0.0-14.8
73.22050209,0.0-14.8
86.21979782,0.0-14.8
93.87454124,29.6-39.5
33.33065232,0.0-14.8
83.36436834,0.0-14.8
92.00324978,0.0-14.8
66.37274183,0.0-14.8
84.20189779,0.0-14.8
97.94800557,0.0-14.8
73.13965753,0.0-14.8
85.26909551,0.0-14.8
98.17713445,29.6-39.5
24.16256349,0.0-14.8
65.38933316,0.0-14.8
95.07020116,0.0-14.8
66.28326385,0.0-14.8
69.94718927,0.0-14.8
99.03446213,0.0-14.8
76.16070518,0.0-14.8
68.60611463,0.0-14.8
95.67591323,0.0-14.8
19.42152909,0.0-14.8
41.96438983,0.0-14.8
34.44632451,0.0-14.8
12.7214048,0.0-14.8
57.6053748,0.0-14.8
63.62909921,0.0-14.8
15.1215994,0.0-14.8
63.46127974,0.0-14.8
69.51698512,0.0-14.8
40.08669181,0.0-14.8
85.14015258,0.0-14.8
99.99999,0.0-14.8
73.13874552,0.0-14.8
91.93340238,0.0-14.8
95.38648822,0.0-14.8
63.83709974,0.0-14.8
90.22793001,0.0-14.8
91.51096876,29.6-39.5
35.80276164,0.0-14.8
81.63511603,0.0-14.8
99.99999,0.0-14.8
89.46707858,0.0-14.8
91.20970452,0.0-14.8
92.35381549,0.0-14.8
92.90401218,0.0-14.8
90.37135809,0.0-14.8
98.84920594,0.0-14.8
27.24737039,0.0-14.8
50.42857568,0.0-14.8
81.51017538,0.0-14.8
91.37329051,0.0-14.8
69.8410056,0.0-14.8
94.14846732,0.0-14.8
94.29690562,0.0-14.8
77.75555198,0.0-14.8
95.75260589,0.0-14.8
19.49452071,0.0-14.8
43.37501152,0.0-14.8
55.00354925,0.0-14.8
13.03686492,0.0-14.8
42.29478749,0.0-14.8
46.08846314,0.0-14.8
21.9180702,0.0-14.8
48.23965662,0.0-14.8
58.39892185,0.0-14.8
10.13794025,0.0-14.8
29.2582978,0.0-14.8
23.41994655,0.0-14.8
40.27887601,0.0-14.8
63.2869505,0.0-14.8
79.52732954,0.0-14.8
18.99441923,0.0-14.8
54.29333472,0.0-14.8
80.53864746,0.0-14.8
70.35430221,0.0-14.8
63.71103229,0.0-14.8
83.65366275,39.5-49.4
26.69194458,0.0-14.8
57.95225277,0.0-14.8
86.21496371,0.0-14.8
39.75657581,0.0-14.8
65.15148191,0.0-14.8
84.31065923,0.0-14.8
13.88482007,0.0-14.8
43.16671419,0.0-14.8
78.78970759,0.0-14.8
84.58893866,0.0-14.8
65.59087383,0.0-14.8
89.32312927,0.0-14.8
24.6686189,0.0-14.8
49.7806525,0.0-14.8
87.75322874,0.0-14.8
27.05720868,0.0-14.8
46.33728613,0.0-14.8
90.31730943,0.0-14.8
6.244420828,0.0-14.8
15.10235685,0.0-14.8
79.01720716,0.0-14.8
79.76966371,0.0-14.8
46.38749412,0.0-14.8
86.76065944,0.0-14.8
15.42196799,0.0-14.8
17.35228888,0.0-14.8
77.54677515,0.0-14.8
0.0,0.0-14.8
40.9724255,0.0-14.8
59.0740653,0.0-14.8
17.39978172,0.0-14.8
21.49059564,0.0-14.8
28.02951353,0.0-14.8
0.0,0.0-14.8
1.530768374,0.0-14.8
13.49999802,0.0-14.8
23.94536549,0.0-14.8
12.68763797,0.0-14.8
27.31009438,0.0-14.8
9.011992674,0.0-14.8
63.42879895,0.0-14.8
88.51390693,0.0-14.8
30.72459608,0.0-14.8
44.53583158,0.0-14.8
70.86807008,0.0-14.8
10.03634536,0.0-14.8
8.140819585,0.0-14.8
51.15306518,0.0-14.8
66.1445595,0.0-14.8
46.64490818,0.0-14.8
84.53852223,0.0-14.8
27.04583578,0.0-14.8
63.18914382,0.0-14.8
89.55924552,0.0-14.8
36.14968182,0.0-14.8
36.05690183,0.0-14.8
77.95754061,0.0-14.8
12.05269157,0.0-14.8
2.633148758,0.0-14.8
44.9389876,0.0-14.8
68.44214129,0.0-14.8
47.63381676,0.0-14.8
89.5987779,0.0-14.8
17.5357483,0.0-14.8
51.25885662,0.0-14.8
96.13228316,0.0-14.8
23.02454867,0.0-14.8
14.42398425,0.0-14.8
63.351286,0.0-14.8
6.151237345,0.0-14.8
0.0,0.0-14.8
35.68280094,0.0-14.8
40.32898976,0.0-14.8
26.8708629,0.0-14.8
80.80959568,0.0-14.8
47.85301388,0.0-14.8
42.79858664,0.0-14.8
62.53548833,0.0-14.8
22.00500964,0.0-14.8
42.20791273,0.0-14.8
62.69909879,0.0-14.8
19.12358264,0.0-14.8
46.57912629,0.0-14.8
64.88423444,0.0-14.8
29.79340439,0.0-14.8
38.85520908,0.0-14.8
54.07334238,0.0-14.8
73.95050649,0.0-14.8
58.46064001,0.0-14.8
84.68245385,14.8-29.6
57.7580975,0.0-14.8
65.50261834,0.0-14.8
83.82528245,0.0-14.8
63.222267,29.6-39.5
62.22086343,29.6-39.5
85.99469652,29.6-39.5
75.73582011,0.0-14.8
59.66718586,0.0-14.8
86.49714531,29.6-39.5
78.28452045,0.0-14.8
69.52780108,0.0-14.8
91.13914928,0.0-14.8
82.33244396,0.0-14.8
63.37225968,0.0-14.8
89.12987666,0.0-14.8
79.30639259,0.0-14.8
60.412252,0.0-14.8
