True Yield,Prediction_Ours_500
9.46569581,29.6-39.5
21.66658644,29.6-39.5
23.68617418,39.5-49.4
35.13952712,49.4-59.2
30.4254394,39.5-49.4
33.8754215,49.4-59.2
22.61165831,39.5-49.4
31.61725517,39.5-49.4
38.14302674,39.5-49.4
29.97543001,39.5-49.4
68.84655406,39.5-49.4
86.68959994,49.4-59.2
65.93988128,59.2-69.1
70.2055639,49.4-59.2
91.39064225,59.2-69.1
56.83280355,49.4-59.2
73.64322424,49.4-59.2
84.85609846,59.2-69.1
24.90011385,39.5-49.4
32.00160024,39.5-49.4
69.39855223,39.5-49.4
76.83418769,49.4-59.2
54.58472012,49.4-59.2
77.8707536,59.2-69.1
63.8547365,49.4-59.2
70.28309787,49.4-59.2
84.69021766,59.2-69.1
16.1585109,39.5-49.4
24.60602271,39.5-49.4
68.0065648,49.4-59.2
55.08984272,59.2-69.1
34.68494953,49.4-59.2
67.67136056,59.2-69.1
64.02888238,49.4-59.2
45.30738516,49.4-59.2
86.20017514,59.2-69.1
12.98584411,29.6-39.5
16.82928554,29.6-39.5
15.69796379,39.5-49.4
10.59565991,39.5-49.4
32.92776022,39.5-49.4
32.36907857,39.5-49.4
14.11480355,39.5-49.4
39.19022489,39.5-49.4
38.26811211,39.5-49.4
31.29909936,59.2-69.1
69.39495874,49.4-59.2
88.44637346,59.2-69.1
52.85443039,49.4-59.2
80.58863006,49.4-59.2
86.19439925,69.1-83.9
54.63079808,59.2-69.1
76.63515592,49.4-59.2
86.00345438,69.1-83.9
23.70056273,49.4-59.2
32.19059222,49.4-59.2
50.80872036,59.2-69.1
68.99091328,49.4-59.2
78.17281005,49.4-59.2
86.12188158,49.4-59.2
69.08248124,59.2-69.1
63.40623793,49.4-59.2
87.76406197,69.1-83.9
19.27582448,59.2-69.1
17.3168226,49.4-59.2
44.47903411,59.2-69.1
74.61155282,49.4-59.2
61.91869342,49.4-59.2
89.88953077,69.1-83.9
80.49152522,59.2-69.1
38.32865111,49.4-59.2
81.37846659,69.1-83.9
13.98755594,29.6-39.5
22.49487977,29.6-39.5
26.31222578,39.5-49.4
7.972544215,0.0-14.8
4.510171982,14.8-29.6
6.536001371,14.8-29.6
19.78619625,39.5-49.4
24.23900204,39.5-49.4
32.16531055,39.5-49.4
7.147436012,14.8-29.6
11.68964545,14.8-29.6
14.22488447,29.6-39.5
30.38899776,49.4-59.2
54.22895975,49.4-59.2
73.07610721,49.4-59.2
19.47556274,39.5-49.4
8.246523526,39.5-49.4
14.03184959,39.5-49.4
62.426823,59.2-69.1
57.84627264,49.4-59.2
76.3025428,69.1-83.9
18.18990312,39.5-49.4
38.10999093,39.5-49.4
63.35366236,39.5-49.4
28.40072634,49.4-59.2
42.31281665,39.5-49.4
77.92695821,49.4-59.2
13.20129952,29.6-39.5
9.609943508,29.6-39.5
21.81045338,39.5-49.4
73.53944548,59.2-69.1
57.83107149,49.4-59.2
79.07949659,69.1-83.9
16.31613355,29.6-39.5
13.57914578,29.6-39.5
36.05565123,39.5-49.4
17.08713871,49.4-59.2
28.41978949,39.5-49.4
70.04834525,49.4-59.2
5.427048525,29.6-39.5
3.547951578,29.6-39.5
13.55922704,39.5-49.4
70.41045785,59.2-69.1
33.09635306,49.4-59.2
75.55480498,69.1-83.9
8.586375019,29.6-39.5
3.747141461,29.6-39.5
29.35743486,39.5-49.4
0.0,29.6-39.5
26.14998957,29.6-39.5
28.88381703,39.5-49.4
12.438351,14.8-29.6
10.00194934,29.6-39.5
18.83260332,29.6-39.5
0.0,14.8-29.6
0.0,14.8-29.6
7.156167613,14.8-29.6
17.200701,29.6-39.5
6.819997972,29.6-39.5
16.58042552,29.6-39.5
3.510094374,49.4-59.2
60.26102193,49.4-59.2
81.53694628,49.4-59.2
21.68221926,39.5-49.4
12.36409536,39.5-49.4
48.36115435,39.5-49.4
3.451949517,29.6-39.5
1.986478634,29.6-39.5
40.21576406,39.5-49.4
53.94447324,29.6-39.5
38.03832948,29.6-39.5
77.39811795,39.5-49.4
1.660025621,49.4-59.2
58.32558385,49.4-59.2
84.9300227,49.4-59.2
24.62070452,39.5-49.4
9.836570629,39.5-49.4
49.94868445,39.5-49.4
4.444109893,14.8-29.6
0.0,14.8-29.6
40.01187418,39.5-49.4
56.49708288,29.6-39.5
36.66758858,29.6-39.5
80.10225068,39.5-49.4
0.0,49.4-59.2
43.94688122,49.4-59.2
83.03295526,49.4-59.2
15.64688259,39.5-49.4
3.964447459,39.5-49.4
48.18783868,39.5-49.4
0.0,14.8-29.6
0.0,14.8-29.6
34.48220577,39.5-49.4
20.00288675,29.6-39.5
13.79100096,29.6-39.5
60.52865164,39.5-49.4
36.55522639,39.5-49.4
24.95662893,39.5-49.4
23.90935743,39.5-49.4
20.97581455,39.5-49.4
22.54874195,39.5-49.4
25.36847762,39.5-49.4
16.47592229,49.4-59.2
26.0695387,39.5-49.4
27.19452945,49.4-59.2
24.01631717,29.6-39.5
21.60400316,29.6-39.5
25.48313253,39.5-49.4
70.14701034,49.4-59.2
61.13755675,49.4-59.2
83.17489955,59.2-69.1
54.53336611,49.4-59.2
66.11270607,49.4-59.2
82.51131881,49.4-59.2
62.46560879,59.2-69.1
62.39976577,59.2-69.1
84.81458604,59.2-69.1
70.24905586,49.4-59.2
61.82340519,49.4-59.2
84.64975432,49.4-59.2
70.51359377,49.4-59.2
55.58164705,49.4-59.2
71.00136701,49.4-59.2
80.28534176,49.4-59.2
56.33395035,49.4-59.2
86.6996801,49.4-59.2
78.76794462,59.2-69.1
58.92871095,59.2-69.1
90.99050642,59.2-69.1
75.99606764,49.4-59.2
52.72286451,49.4-59.2
74.69880742,49.4-59.2
74.06067797,49.4-59.2
27.69709095,49.4-59.2
52.59936901,59.2-69.1
74.22961906,49.4-59.2
33.94683682,49.4-59.2
72.98033012,49.4-59.2
76.3099624,59.2-69.1
34.05189508,59.2-69.1
89.07661609,59.2-69.1
57.59970402,49.4-59.2
26.8260429,49.4-59.2
47.18415816,49.4-59.2
12.25099464,29.6-39.5
15.10135263,29.6-39.5
14.60964787,39.5-49.4
11.84842444,29.6-39.5
15.03293541,29.6-39.5
11.6539798,39.5-49.4
18.57739993,29.6-39.5
26.66040937,29.6-39.5
27.32636453,39.5-49.4
22.29411196,29.6-39.5
22.69659515,29.6-39.5
24.66006055,39.5-49.4
27.24876847,39.5-49.4
56.99401844,39.5-49.4
79.78226496,49.4-59.2
42.78380779,49.4-59.2
33.66124955,49.4-59.2
79.04497323,49.4-59.2
53.37807808,49.4-59.2
64.60204454,49.4-59.2
83.76441682,59.2-69.1
63.65319734,49.4-59.2
66.07394644,49.4-59.2
82.32171897,49.4-59.2
24.72320112,39.5-49.4
32.57727167,39.5-49.4
64.98015189,39.5-49.4
41.14460565,49.4-59.2
29.74076309,49.4-59.2
72.24358198,49.4-59.2
78.77070783,49.4-59.2
62.79572595,49.4-59.2
85.53405964,49.4-59.2
72.60987428,49.4-59.2
58.01064055,49.4-59.2
78.02488381,49.4-59.2
21.50066765,39.5-49.4
20.28381752,39.5-49.4
29.55686861,49.4-59.2
31.37415917,49.4-59.2
20.49711258,49.4-59.2
31.19527434,49.4-59.2
74.20453315,49.4-59.2
44.04139335,49.4-59.2
78.41262052,59.2-69.1
